combo,n_factors,Daily Recent 1y_edge,Daily Recent 1y_n,Daily Recent 1y_win,Daily Prior 2y_edge,Daily Prior 2y_n,Daily Prior 2y_win,Weekly Recent 1y_edge,Weekly Recent 1y_n,Weekly Recent 1y_win,Weekly Prior 2y_edge,Weekly Prior 2y_n,Weekly Prior 2y_win,windows_tested,windows_positive,mean_edge,worst_edge,min_n,verdict
A2,1,-0.14849190124370948,12114,51.27951130922899,0.05659078280513674,24510,54.64708282333741,0.30847651024541606,1326,55.80693815987934,-0.2454883796453661,2646,57.36961451247166,4,2,-0.007228246959630695,-0.2454883796453661,1326.0,Inconsistent
A2+B2+D1,3,-0.27132778772972876,2787,51.66846071044133,-0.11358699088899857,6383,55.397148676171085,0.45499129393798576,319,56.739811912225704,-0.11442364980916078,764,56.15183246073299,4,1,-0.011086783622475595,-0.27132778772972876,319.0,Inconsistent
C1,1,0.06248396253675578,4658,52.53327608415629,-0.013192531353996804,9656,54.44283347141674,0.6070546263396481,557,55.11669658886894,-0.7607351793843913,1302,52.61136712749616,4,2,-0.02609728046549603,-0.7607351793843913,557.0,Inconsistent
B3,1,-0.02974432812546045,27274,50.784630050597634,0.014001972636211443,64847,53.72029546470923,0.021678905479194314,6454,52.23117446544778,-0.1821491622584513,15061,55.06274483766018,4,2,-0.044053153067126496,-0.1821491622584513,6454.0,Inconsistent
A2+B2,2,-0.2622723996678054,7019,50.42028779028351,-0.026590434906512292,14462,54.30092656617342,0.40399725166450956,819,54.57875457875458,-0.3056249204547051,1848,57.467532467532465,4,1,-0.04762262584112831,-0.3056249204547051,819.0,Inconsistent
B2,1,-0.07343901465871727,48378,51.58543139443549,-0.013642670260015265,93671,53.90569119578098,-0.05544169737494049,9289,54.47303261922705,-0.05645444855608962,20542,55.34027845389933,4,0,-0.04974445771244067,-0.07343901465871727,9289.0,Inconsistent
A2+B1+D1+V1,4,-0.08998635056795222,431,54.292343387471,-0.012518993869935102,970,53.91752577319588,-0.10395919092318764,61,57.377049180327866,-0.007410463826776897,91,53.84615384615385,4,0,-0.053468749796962964,-0.10395919092318764,61.0,Inconsistent
A2+B2+V1,3,0.07106379173414765,1190,52.43697478991597,-0.1919766799098778,2546,51.885310290652,0.4580372239558183,186,55.376344086021504,-0.567660908191469,406,52.21674876847291,4,2,-0.0576341431028452,-0.567660908191469,186.0,Inconsistent
B3+D1,2,0.047425441738191694,20322,51.16130302135616,0.01742057096176842,48692,53.70902817711328,-0.17066132623453076,4847,51.59892717144625,-0.13076808900051856,11334,55.267337215457914,4,2,-0.0591458506337723,-0.17066132623453076,4847.0,Inconsistent
B2+V1,2,0.05587809522447322,8018,54.40259416313295,-0.0745076531392834,16143,53.986247909310535,-0.16919505218472797,1684,53.62232779097387,-0.22624563514019141,3934,54.651753940010174,4,1,-0.1035175613099324,-0.22624563514019141,1684.0,Inconsistent
B2+D1,2,-0.08237135059461101,21132,51.92598902138936,0.002958266112546769,44572,54.46917347213497,-0.37211987019600595,4462,54.61676378305692,0.010838044410653289,10287,55.77913871877126,4,2,-0.11017372756685423,-0.37211987019600595,4462.0,Inconsistent
A1+B2,2,-0.1979143522845239,3875,50.70967741935484,-0.13792598133456624,7224,53.19767441860465,-0.1248560250414118,485,52.37113402061856,-0.09122471703490308,1000,54.6,4,0,-0.13798026892385126,-0.1979143522845239,485.0,Inconsistent
B2+D1+V1,3,-0.004007793732501153,3483,53.71805914441573,-0.11532568234689082,7944,54.31772406847936,-0.25893820739424994,803,55.04358655043586,-0.24157012210489676,2131,55.04458000938527,4,0,-0.15496045139463466,-0.25893820739424994,803.0,Inconsistent
